season,player_id,rec_context_targets,rec_avg_depth_target,rec_deep_targets,rec_short_targets,rec_left_targets,rec_middle_targets,rec_right_targets,rec_redzone_targets,rec_deep_target_rate,rec_short_target_rate,rec_left_target_rate,rec_middle_target_rate,rec_right_target_rate,rec_redzone_target_rate,rec_route_hitch,rec_route_in_break,rec_route_screen,rec_route_out_break,rec_route_vertical,rec_route_other
2023,00-0034184,13,2.4615384615384617,0,10,5,1,7,0,0,0.7692307692307693,0.38461538461538464,0.07692307692307693,0.5384615384615384,0,0.23076923076923078,0,0.07692307692307693,0.6153846153846154,0.07692307692307693,0
2023,00-0034193,3,10.666666666666666,1,2,0,1,2,1,0.3333333333333333,0.6666666666666666,0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0,0,0.3333333333333333,0.3333333333333333,0
2023,00-0034208,9,1,0,8,6,0,3,0,0,0.8888888888888888,0.6666666666666666,0,0.3333333333333333,0,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.5555555555555556,0,0
2023,00-0034270,87,6.839080459770115,14,36,28,23,36,9,0.16091954022988506,0.41379310344827586,0.3218390804597701,0.26436781609195403,0.41379310344827586,0.10344827586206896,0.2558139534883721,0.22093023255813954,0.05813953488372093,0.29069767441860467,0.1744186046511628,0
2023,00-0034272,42,17.666666666666668,23,6,14,9,19,5,0.5476190476190477,0.14285714285714285,0.3333333333333333,0.21428571428571427,0.4523809523809524,0.11904761904761904,0.2682926829268293,0.0975609756097561,0.04878048780487805,0.17073170731707318,0.4146341463414634,0
2023,00-0034279,6,8.833333333333334,1,2,4,1,1,0,0.16666666666666666,0.3333333333333333,0.6666666666666666,0.16666666666666666,0.16666666666666666,0,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,0,0
2023,00-0034286,14,9.214285714285714,3,5,6,3,5,1,0.21428571428571427,0.35714285714285715,0.42857142857142855,0.21428571428571427,0.35714285714285715,0.07142857142857142,0.21428571428571427,0.14285714285714285,0.14285714285714285,0.35714285714285715,0.14285714285714285,0
2023,00-0034297,22,13.5,9,4,6,6,10,0,0.4090909090909091,0.18181818181818182,0.2727272727272727,0.2727272727272727,0.45454545454545453,0,0.2857142857142857,0.42857142857142855,0.047619047619047616,0.09523809523809523,0.14285714285714285,0
2023,00-0034317,9,10.11111111111111,2,1,2,3,4,3,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.4444444444444444,0.3333333333333333,0.2222222222222222,0.2222222222222222,0,0.3333333333333333,0.2222222222222222,0
2023,00-0034348,91,11.777777777777779,27,21,40,17,33,19,0.2967032967032967,0.23076923076923078,0.43956043956043955,0.18681318681318682,0.3626373626373626,0.2087912087912088,0.15555555555555556,0.34444444444444444,0.011111111111111112,0.18888888888888888,0.3,0
2023,00-0034351,83,5.36144578313253,10,41,37,12,34,10,0.12048192771084337,0.4939759036144578,0.4457831325301205,0.14457831325301204,0.40963855421686746,0.12048192771084337,0.20481927710843373,0.1686746987951807,0.1927710843373494,0.39759036144578314,0.03614457831325301,0
2023,00-0034364,23,4.739130434782608,2,14,9,4,10,0,0.08695652173913043,0.6086956521739131,0.391304347826087,0.17391304347826086,0.43478260869565216,0,0.2857142857142857,0.14285714285714285,0,0.47619047619047616,0.09523809523809523,0
2023,00-0034365,9,8.666666666666666,3,5,4,2,3,1,0.3333333333333333,0.5555555555555556,0.4444444444444444,0.2222222222222222,0.3333333333333333,0.1111111111111111,0,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.4444444444444444,0
