season,player_id,rec_context_targets,rec_avg_depth_target,rec_deep_targets,rec_short_targets,rec_left_targets,rec_middle_targets,rec_right_targets,rec_redzone_targets,rec_deep_target_rate,rec_short_target_rate,rec_left_target_rate,rec_middle_target_rate,rec_right_target_rate,rec_redzone_target_rate,rec_route_in_break,rec_route_other,rec_route_screen,rec_route_vertical,rec_route_out_break,rec_route_hitch
2019,00-0033466,39,4.333333333333333,6,21,11,13,15,7,0.15384615384615385,0.5384615384615384,0.28205128205128205,0.3333333333333333,0.38461538461538464,0.1794871794871795,0,0.7692307692307693,0.1794871794871795,0.05128205128205128,0,0
2019,00-0033471,35,8.428571428571429,5,7,10,12,13,6,0.14285714285714285,0.2,0.2857142857142857,0.34285714285714286,0.37142857142857144,0.17142857142857143,0.2,0.6571428571428571,0.02857142857142857,0.11428571428571428,0,0
2019,00-0033528,41,6.45,3,17,15,15,10,5,0.07317073170731707,0.4146341463414634,0.36585365853658536,0.36585365853658536,0.24390243902439024,0.12195121951219512,0,0.975,0,0.025,0,0
2019,00-0033530,5,7.2,0,1,0,1,4,0,0,0.2,0,0.2,0.8,0,0.4,0.6,0,0,0,0
2019,00-0033536,90,17.81111111111111,45,9,41,24,25,15,0.5,0.1,0.45555555555555555,0.26666666666666666,0.2777777777777778,0.16666666666666666,0.011111111111111112,0.5,0,0.4888888888888889,0,0
2019,00-0033537,1,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0
2019,00-0033553,38,-1.4210526315789473,0,37,8,13,17,5,0,0.9736842105263158,0.21052631578947367,0.34210526315789475,0.4473684210526316,0.13157894736842105,0,0.7368421052631579,0.23684210526315788,0.02631578947368421,0,0
2019,00-0033555,23,13.173913043478262,10,3,5,7,11,5,0.43478260869565216,0.13043478260869565,0.21739130434782608,0.30434782608695654,0.4782608695652174,0.21739130434782608,0.08695652173913043,0.5217391304347826,0.043478260869565216,0.34782608695652173,0,0
2019,00-0033556,104,1.75,7,84,30,30,44,9,0.0673076923076923,0.8076923076923077,0.28846153846153844,0.28846153846153844,0.4230769230769231,0.08653846153846154,0.04807692307692308,0.6442307692307693,0.25,0.057692307692307696,0,0
2019,00-0033562,11,1.5454545454545454,0,10,6,2,3,0,0,0.9090909090909091,0.5454545454545454,0.18181818181818182,0.2727272727272727,0,0.09090909090909091,0.7272727272727273,0.18181818181818182,0,0,0
2019,00-0033567,14,1.5,0,13,5,7,2,3,0,0.9285714285714286,0.35714285714285715,0.5,0.14285714285714285,0.21428571428571427,0,0.9285714285714286,0.07142857142857142,0,0,0
2019,00-0033572,2,14.5,1,1,1,0,1,0,0.5,0.5,0.5,0,0.5,0,0,0,0.5,0.5,0,0
2019,00-0033576,3,3,0,2,1,1,1,0,0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,0
2019,00-0033589,34,14.176470588235293,12,7,16,8,10,8,0.35294117647058826,0.20588235294117646,0.47058823529411764,0.23529411764705882,0.29411764705882354,0.23529411764705882,0.029411764705882353,0.47058823529411764,0.029411764705882353,0.47058823529411764,0,0
2019,00-0033594,47,-1.0212765957446808,1,43,26,7,14,2,0.02127659574468085,0.9148936170212766,0.5531914893617021,0.14893617021276595,0.2978723404255319,0.0425531914893617,0,0.7446808510638298,0.2553191489361702,0,0,0
2019,00-0033604,1,2,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
2019,00-0033611,23,11.5,7,6,8,6,8,7,0.30434782608695654,0.2608695652173913,0.34782608695652173,0.2608695652173913,0.34782608695652173,0.30434782608695654,0.045454545454545456,0.5454545454545454,0,0.4090909090909091,0,0
2019,00-0033658,41,8.024390243902438,7,18,17,8,16,2,0.17073170731707318,0.43902439024390244,0.4146341463414634,0.1951219512195122,0.3902439024390244,0.04878048780487805,0.024390243902439025,0.8536585365853658,0,0.12195121951219512,0,0
2019,00-0033681,36,10.685714285714285,10,12,16,5,14,7,0.2777777777777778,0.3333333333333333,0.4444444444444444,0.1388888888888889,0.3888888888888889,0.19444444444444445,0,0.6571428571428571,0.14285714285714285,0.2,0,0
2019,00-0033696,2,9.5,0,0,0,1,1,1,0,0,0,0.5,0.5,0.5,0,0.5,0,0.5,0,0
2019,00-0033699,108,1.2592592592592593,7,92,40,24,44,13,0.06481481481481481,0.8518518518518519,0.37037037037037035,0.2222222222222222,0.4074074074074074,0.12037037037037036,0.05555555555555555,0.7037037037037037,0.16666666666666666,0.07407407407407407,0,0
2019,00-0033705,17,16,6,4,5,3,9,0,0.35294117647058826,0.23529411764705882,0.29411764705882354,0.17647058823529413,0.5294117647058824,0,0.17647058823529413,0.5294117647058824,0,0.29411764705882354,0,0
2019,00-0033733,40,6.6,2,14,15,10,15,6,0.05,0.35,0.375,0.25,0.375,0.15,0.05,0.85,0.025,0.075,0,0
2019,00-0033742,1,-2,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
2019,00-0033757,15,10.533333333333333,5,6,3,5,7,2,0.3333333333333333,0.4,0.2,0.3333333333333333,0.4666666666666667,0.13333333333333333,0,0.8,0,0.2,0,0
2019,00-0033770,1,10,0,0,0,0,1,0,0,0,0,0,1,0,NA,NA,NA,NA,0,0
2019,00-0033789,3,10,1,2,0,1,2,0,0.3333333333333333,0.6666666666666666,0,0.3333333333333333,0.6666666666666666,0,0.3333333333333333,0.3333333333333333,0,0.3333333333333333,0,0
2019,00-0033838,7,0.8571428571428571,0,6,4,0,3,0,0,0.8571428571428571,0.5714285714285714,0,0.42857142857142855,0,0,1,0,0,0,0
2019,00-0033839,103,6.633663366336633,19,43,29,23,49,13,0.18446601941747573,0.4174757281553398,0.2815533980582524,0.22330097087378642,0.47572815533980584,0.1262135922330097,0.009900990099009901,0.7227722772277227,0.1485148514851485,0.1188118811881188,0,0
2019,00-0033854,46,2.630434782608696,0,32,15,17,14,7,0,0.6956521739130435,0.32608695652173914,0.3695652173913043,0.30434782608695654,0.15217391304347827,0.043478260869565216,0.8260869565217391,0.13043478260869565,0,0,0
2019,00-0033856,100,0.13,0,88,51,16,33,11,0,0.88,0.51,0.16,0.33,0.11,0.01,0.88,0.09,0.02,0,0
2019,00-0033857,71,9.757142857142858,17,21,38,13,19,8,0.23943661971830985,0.29577464788732394,0.5352112676056338,0.18309859154929578,0.2676056338028169,0.11267605633802817,0.12857142857142856,0.5428571428571428,0.07142857142857142,0.2571428571428571,0,0
2019,00-0033858,44,5.25,7,26,15,11,18,6,0.1590909090909091,0.5909090909090909,0.3409090909090909,0.25,0.4090909090909091,0.13636363636363635,0.022727272727272728,0.75,0.13636363636363635,0.09090909090909091,0,0
2019,00-0033871,69,12.028985507246377,19,11,26,12,31,3,0.2753623188405797,0.15942028985507245,0.37681159420289856,0.17391304347826086,0.4492753623188406,0.043478260869565216,0.043478260869565216,0.7536231884057971,0.057971014492753624,0.14492753623188406,0,0
2019,00-0033879,53,9.962264150943396,18,18,20,14,19,8,0.33962264150943394,0.33962264150943394,0.37735849056603776,0.2641509433962264,0.3584905660377358,0.1509433962264151,0,0.660377358490566,0.07547169811320754,0.2641509433962264,0,0
2019,00-0033881,68,5.838235294117647,7,35,14,23,31,11,0.10294117647058823,0.5147058823529411,0.20588235294117646,0.3382352941176471,0.45588235294117646,0.16176470588235295,0.029411764705882353,0.7647058823529411,0.058823529411764705,0.14705882352941177,0,0
2019,00-0033885,10,6.4,0,5,0,6,4,2,0,0.5,0,0.6,0.4,0.2,0.1,0.8,0,0.1,0,0
2019,00-0033891,45,10.755555555555556,12,19,16,7,22,6,0.26666666666666666,0.4222222222222222,0.35555555555555557,0.15555555555555556,0.4888888888888889,0.13333333333333333,0.044444444444444446,0.7333333333333333,0.022222222222222223,0.2,0,0
2019,00-0033893,64,-1.492063492063492,0,63,23,14,26,4,0,0.984375,0.359375,0.21875,0.40625,0.0625,0,0.6666666666666666,0.3333333333333333,0,0,0
2019,00-0033895,60,8.116666666666667,12,29,15,10,35,8,0.2,0.48333333333333334,0.25,0.16666666666666666,0.5833333333333334,0.13333333333333333,0.016666666666666666,0.7333333333333333,0.03333333333333333,0.21666666666666667,0,0
2019,00-0033896,14,3.769230769230769,0,7,1,4,8,4,0,0.5,0.07142857142857142,0.2857142857142857,0.5714285714285714,0.2857142857142857,0.07692307692307693,0.9230769230769231,0,0,0,0
2019,00-0033897,45,-0.044444444444444446,2,38,23,6,16,7,0.044444444444444446,0.8444444444444444,0.5111111111111111,0.13333333333333333,0.35555555555555557,0.15555555555555556,0,0.6888888888888889,0.28888888888888886,0.022222222222222223,0,0
2019,00-0033904,1,1,0,1,1,0,0,1,0,1,1,0,0,1,NA,NA,NA,NA,0,0
2019,00-0033906,97,0.26804123711340205,1,85,41,18,38,13,0.010309278350515464,0.8762886597938144,0.422680412371134,0.18556701030927836,0.3917525773195876,0.13402061855670103,0.010309278350515464,0.7422680412371134,0.23711340206185566,0.010309278350515464,0,0
2019,00-0033908,135,7.2388059701492535,19,57,58,43,33,22,0.14074074074074075,0.4222222222222222,0.42962962962962964,0.31851851851851853,0.24444444444444444,0.16296296296296298,0.03731343283582089,0.8134328358208955,0.08208955223880597,0.06716417910447761,0,0
2019,00-0033911,1,33,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
2019,00-0033921,122,10.47107438016529,36,32,35,33,53,15,0.29508196721311475,0.26229508196721313,0.28688524590163933,0.27049180327868855,0.4344262295081967,0.12295081967213115,0.08264462809917356,0.5454545454545454,0.14049586776859505,0.23140495867768596,0,0
2019,00-0033923,44,0.7954545454545454,1,34,16,9,19,2,0.022727272727272728,0.7727272727272727,0.36363636363636365,0.20454545454545456,0.4318181818181818,0.045454545454545456,0.022727272727272728,0.7045454545454546,0.25,0.022727272727272728,0,0
2019,00-0033932,117,14.637931034482758,47,20,47,28,41,17,0.4017094017094017,0.17094017094017094,0.4017094017094017,0.23931623931623933,0.3504273504273504,0.1452991452991453,0.05172413793103448,0.5258620689655172,0.008620689655172414,0.41379310344827586,0,0
2019,00-0033933,1,15,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
