player_id,position,draft_year_24,talent_prior_fppg_24,rookie_actual_fppg_24,talent_prior_source_24
00-0032447,WR,2016,0.09900502936686784,0,chronological_college_combine_ridge
00-0033069,WR,2016,4.153737183795656,2.34,chronological_college_combine_ridge
00-0032400,WR,2016,3.592637911549092,6.675,chronological_college_combine_ridge
00-0032398,WR,2016,3.6406388961939795,0.7142857142857143,chronological_college_combine_ridge
00-0032974,WR,2016,3.0128580855323377,0.4,chronological_college_combine_ridge
00-0032959,WR,2016,1.4871052306718346,2.341666666666667,chronological_college_combine_ridge
00-0033078,WR,2016,0.8566017518661275,0,chronological_college_combine_ridge
00-0032775,WR,2016,3.5769408236417326,0,chronological_college_combine_ridge
00-0032778,WR,2016,3.887863826646623,5.300000000000001,chronological_college_combine_ridge
00-0032385,WR,2016,5.393063471371648,9.49375,chronological_college_combine_ridge
00-0032765,WR,2016,5.143541996018097,14.246666666666666,chronological_college_combine_ridge
00-0032951,WR,2016,6.9490303792989785,0.5,chronological_college_combine_ridge
00-0032429,TE,2016,2.296423701015538,2.62,position_prior
00-0032341,TE,2016,2.296423701015538,0,position_prior
00-0033080,TE,2016,2.296423701015538,3.7125000000000004,position_prior
00-0033061,TE,2016,2.296423701015538,0,position_prior
00-0033054,TE,2016,2.296423701015538,0,position_prior
00-0033112,TE,2016,2.296423701015538,0,position_prior
00-0033090,TE,2016,2.296423701015538,8.753846153846155,position_prior
00-0033110,TE,2016,2.296423701015538,1.6666666666666667,position_prior
00-0032392,TE,2016,2.296423701015538,4.2,position_prior
00-0033117,TE,2016,2.296423701015538,0,position_prior
00-0032430,TE,2016,2.296423701015538,0.45,position_prior
00-0032900,TE,2016,2.296423701015538,0,position_prior
00-0032394,TE,2016,2.296423701015538,1.5666666666666667,position_prior
00-0033936,QB,2017,4.840452665390165,15.466666666666669,position_prior
00-0033949,QB,2017,4.840452665390165,0,position_prior
00-0033585,QB,2017,4.840452665390165,0,position_prior
00-0033597,QB,2017,4.840452665390165,0,position_prior
00-0033899,QB,2017,4.840452665390165,12.377333333333333,position_prior
00-0033873,QB,2017,4.840452665390165,10.36,position_prior
00-0033958,QB,2017,4.840452665390165,2.3850000000000007,position_prior
00-0033869,QB,2017,4.840452665390165,11.376666666666665,position_prior
00-0033537,QB,2017,4.840452665390165,23.837142857142858,position_prior
00-0033550,QB,2017,4.840452665390165,0,position_prior
00-0033296,RB,2017,0.9116862162405304,0,chronological_college_combine_ridge
00-0033594,RB,2017,1.9930153743433001,9.05,chronological_college_combine_ridge
