position,feature,delta_MAE_if_permuted,delta_RMSE_if_permuted,delta_correlation_if_permuted,delta_rank_correlation_if_permuted,target_year
RB,direct_gap_vs_base_232,0.01766958000142645,0.0385946376735952,0.004834948228918205,0.006246859119799238,2025
RB,season_to_date_rush_ypc,0.009555720178595628,0.002009848104452594,5.235905639781047e-4,0.002564478118091129,2025
RB,role_fppg_trend,0.007539076253168926,0.010048749478521302,0.0013893376412731733,0.0010563502396336484,2025
RB,favorite_rush_interaction,0.007255904022501684,-8.449868302283411e-4,9.809340916718441e-5,4.3202308281028073e-4,2025
RB,response_avg_box_24,0.00633323169271686,0.0015767675433764339,4.085496256043634e-4,7.471910968349279e-4,2025
RB,xfp_gap_vs_base_232,0.0048054080307607565,-0.00605958991217026,-8.711156880881384e-4,6.140024725301471e-4,2025
RB,tw_draft_capital_log_24,0.004329934026064741,5.620169334097369e-4,2.2942598217360702e-4,3.259019648599315e-4,2025
RB,season_targets_prior,0.00392897072993718,0.001895905229277221,3.89604411385025e-4,1.3406613711190266e-4,2025
RB,roll3_catch_rate,0.003440608751032137,0.0014145398172346428,2.691002588426361e-4,5.958620919741161e-4,2025
RB,roll5_targets,0.002230639308220539,0.0011245951008502786,2.2294790861373168e-4,1.5859085578921275e-4,2025
RB,underdog_target_interaction,0.002205571662004857,-0.004912909761591422,-0.001214611222873067,0.0026033056563464405,2025
RB,roll3_rush_ypc,7.285876234310132e-4,4.6519194046486705e-6,1.9080889457752843e-5,1.6356308748743942e-5,2025
RB,season_to_date_catch_rate,4.7412384264629753e-4,8.712265809259397e-5,2.2367106844334295e-5,7.960955805600782e-5,2025
RB,season_carries_prior,-0.0018690255244333542,0.001142075178479492,4.698436151499378e-5,-7.293922845652556e-5,2025
RB,model22_gap_vs_base_232,-0.0021232547644890096,-0.006538752425788867,-9.094861073959774e-4,4.3727944203449574e-5,2025
RB,roll3_ngs_time_to_los,-0.007227473679986811,0.0014928899488868552,-1.0341713705911786e-4,8.242159997469874e-5,2025
RB,season_to_date_fppg,-0.011757452569240398,0.0032727633226790807,-1.8796242250666376e-4,-5.6815247810796755e-5,2025
RB,opportunity_per_snap,-0.01214602999832426,0.0010583008217916283,-4.237266322640876e-4,-6.874091090303125e-5,2025
RB,projected_opportunities_232,-0.021881563155531875,0.004968680696254779,-5.93107836975304e-4,2.763305679371146e-4,2025
RB,roll3_target_share,-0.02301725828445574,-0.0076362067278124,-0.002187097162665075,-8.612651774876726e-4,2025
WR,roll3_offense_pct,0.03098579917950713,0.002469392694699183,0.0022844120814967672,0.0036112454330147945,2025
WR,talent_prior_fppg_24,0.012887520927460816,0.0025143358706468297,0.0014149153509253793,0.0015643001687032365,2025
WR,season_to_date_fppg,0.01171557740750003,-0.004644492029828011,3.102244813318518e-4,4.266846796113777e-4,2025
WR,legacy_gap_vs_base_232,0.007787847092435296,0.010954016933612643,0.002023721771346946,0.003013113045487681,2025
WR,tw_early_declare_heuristic_24,0.0075368822036328,0.0023366055233102756,0.0011412556315384774,0.0010994475374318153,2025
