position,feature,n,coverage,outcome_pearson,outcome_spearman,partial_correlation_after_base,residual_correlation,year_sign_stability,median_year_abs_residual_cor,signal_score,target_year
WR,role_5_vs_prior_232,4863,1,0.21442808945952874,0.23677553938328313,-0.016461079017464186,-0.026118222495375917,0.5,0.05287938054126733,0.12221573582892979,2024
WR,roll3_ypt,4863,1,0.16536838329011846,0.287356739775573,-0.02043930265495642,-0.028181755893555614,0.5,0.03018759594624841,0.12076811624243865,2024
WR,model_disagreement_23,4863,1,0.31152131714331116,0.3563333346681234,0.012900133387940682,-0.0038453242019068448,0.5,0.006707442742891916,0.11806842219976062,2024
WR,talent_gap_weighted_24,4863,1,-0.31726152969464066,-0.26838692838975603,-0.018161114931183414,-4.4952751710162033e-4,0.5,0.03607155462812349,0.11756257122212406,2024
WR,opportunity_per_snap,4863,1,0.2201863280984121,0.3138244477366085,0.0188571249694366,0.007537308549875182,0.5,0.03851259315480291,0.11692965399507299,2024
WR,response_blitz_rate_24,2476,0.5091507300020564,0.04248061697610228,0.006130376665917242,0.04039853751033756,0.041270183652804604,0.5,0.041270183652804604,0.11314222583693548,2024
WR,model22_gap_vs_base_232,4863,1,-0.02113972939068764,0.021119780363274665,0.03264378494835792,0.03485033642317199,0.5,0.04972467863667958,0.10890441682801118,2024
WR,season_to_date_ypt,4863,1,0.16388722116596055,0.281688724950602,0.002263272244695031,-0.005727552710478484,0.5,0.02988845103943139,0.10699311940415873,2024
WR,favorite_points,4863,1,0.05612024240242343,0.04363369440432423,0.021955894502954182,0.02004493516135563,0.5,0.02144554595049861,0.10050628647378752,2024
WR,season_to_date_pass_ypa,4863,1,0.09099097506310497,0.04463518957007527,0.020122883633422628,0.016309468136595836,0.5,0.016737019302025383,0.10019557903351509,2024
WR,roll5_carries,4863,1,0.07725973145739848,0.08703998820163594,0.017597666112593884,0.014421891283040734,0.5,0.019045297610496746,0.09995039406020678,2024
WR,preseason_redzone_target_rate,4863,1,0.08277116728612892,0.16599780586372156,-0.005843256027640702,-0.010033742899415752,0.5,0.020533224571764794,0.09915919307272865,2024
WR,roll3_carries,4863,1,0.07408145452924228,0.08316468688790096,0.017115745442520498,0.014088310260979594,0.5,0.01596821603743672,0.09905085065798018,2024
WR,response_rushers5_rate_24,2476,0.5091507300020564,-0.1005740504163378,-0.08929409038041004,-0.005677410222990362,-0.014647731504838547,0.5,0.014647731504838547,0.0984720572717706,2024
WR,roll3_carry_share,4863,1,0.07294778745414085,0.08430459305435264,0.01606170747952788,0.013054580409414731,0.5,0.014773297554694581,0.09824288014234234,2024
WR,team_spread_line,4863,1,0.060759121336711346,0.04154747572785933,0.017652012716459723,0.015333993626268236,0.5,0.024660101196643636,0.09809717654963522,2024
WR,opp_pos_fppg_allowed_roll4,4863,1,0.01776636167714884,0.0066369705373169555,0.022220486008264772,0.02223987772735505,0.5,0.024804656825694413,0.09804118177199843,2024
WR,underdog_target_interaction,4863,1,0.14828620298175074,0.12265944682442077,0.009530270052032021,0.0023753124771369537,0.5,0.0029531981093214,0.09719316051465858,2024
WR,favorite_rush_interaction,4863,1,0.0810308538291573,0.08663727058448195,0.010270497825443403,0.006644239003068162,0.5,0.02773104811421183,0.09615053676743608,2024
WR,tw_combine_athleticism_z_24,4863,1,-0.013557508394895959,0.009507028977681286,-0.01778478369512264,-0.017832533674944376,0.5,0.02607301300236003,0.09520334951944064,2024
WR,season_pass_attempts_prior,4863,1,0.09779043409540704,0.10251302129969983,-0.002195166158604205,-0.007009568024733716,0.5,0.01324490377074041,0.09471939240006753,2024
