Feature,Gain,Cover,Frequency,position
rb_rush_matchup,7.045361769825234e-4,0.01276245233278659,0.006696428571428571,WR
prior_yards_per_target,7.003043639191336e-4,0.0025910906808270574,0.00390625,WR
roll3_ypt,6.927003751650599e-4,9.244393249991086e-4,0.005580357142857143,WR
injury_risk,6.81700218995681e-4,0.011461008558789848,0.007254464285714286,WR
rb_receiving_matchup,6.814921254833629e-4,0.01128042637258635,0.0078125,WR
opportunity_per_snap,6.652398139786654e-4,9.225356908099118e-4,0.004464285714285714,WR
def_deep_pass_rate_roll4,6.596509318141003e-4,0.006261740955656972,0.0078125,WR
def_middle_epa_allowed_roll4,6.434715373071684e-4,9.595303026595089e-4,0.006696428571428571,WR
roll3_rush_ypc,5.608118174186393e-4,0.009505095979970233,0.005580357142857143,WR
roll3_catch_rate,5.355757947154036e-4,0.0020970493838247182,0.006138392857142857,WR
wr_redzone_matchup,5.241209358808283e-4,4.791169382486038e-4,0.004464285714285714,WR
def_sack_rate_roll4,5.045196968648843e-4,0.003369165565495609,0.005022321428571429,WR
roll5_carries,4.936951660680979e-4,0.006724217987351463,0.005022321428571429,WR
season_to_date_ypt,4.677877716328858e-4,0.003202232230940569,0.004464285714285714,WR
def_redzone_pass_td_rate_roll4,4.1371500953083716e-4,3.848661731074425e-4,0.0033482142857142855,WR
def_explosive_pass_rate_roll4,3.9175963210606604e-4,0.0023253597870617794,0.00390625,WR
def_pass_epa_allowed_roll4,3.8821909300075914e-4,0.0011863411057069769,0.005580357142857143,WR
def_rush_epa_allowed_roll4,3.627146257010587e-4,0.002856768814138779,0.004464285714285714,WR
def_pass_epa_allowed_roll8,3.4378371745383274e-4,9.126511586794083e-4,0.004464285714285714,WR
def_wr_residual_roll4,3.260474384697956e-4,0.0016439766715711682,0.002232142857142857,WR
def_deep_epa_allowed_roll4,3.006947783119423e-4,3.5651638471362085e-4,0.0033482142857142855,WR
season_to_date_rush_ypc,2.835855557668819e-4,2.7168264317524335e-4,0.0027901785714285715,WR
def_middle_pass_rate_roll4,2.832235484013604e-4,3.3540070243778423e-4,0.0033482142857142855,WR
snap_trend,2.731660588169633e-4,5.37777213821264e-4,0.0027901785714285715,WR
